Train Epoch: 97 	Loss: 23912.527344 	Time: 15:26:30
Train Epoch: 98 	Loss: 25587.574219 	Time: 15:27:26
Train Epoch: 99 	Loss: 20752.359375 	Time: 15:28:21
Train Epoch: 100 	Loss: 22605.445312 	Time: 15:29:16
Train Epoch: 101 	Loss: 28858.679688 	Time: 15:30:11
Train Epoch: 102 	Loss: 23228.128906 	Time: 15:31:07
Train Epoch: 103 	Loss: 23317.162109 	Time: 15:32:03
Train Epoch: 104 	Loss: 29578.105469 	Time: 15:32:57
Train Epoch: 105 	Loss: 28415.898438 	Time: 15:33:51
Train Epoch: 106 	Loss: 28760.501953 	Time: 15:34:46
Train Epoch: 107 	Loss: 19668.351562 	Time: 15:35:40
Train Epoch: 108 	Loss: 26615.939453 	Time: 15:36:34
Train Epoch: 109 	Loss: 29545.955078 	Time: 15:37:29
Train Epoch: 110 	Loss: 31675.177734 	Time: 15:38:23
Train Epoch: 111 	Loss: 29623.431641 	Time: 15:39:18
Train Epoch: 112 	Loss: 34845.992188 	Time: 15:40:11
Train Epoch: 113 	Loss: 38276.132812 	Time: 15:41:06
Train Epoch: 114 	Loss: 33996.015625 	Time: 15:42:00
Train Epoch: 115 	Loss: 26598.195312 	Time: 15:42:54
Train Epoch: 116 	Loss: 35752.609375 	Time: 15:43:49
Train Epoch: 117 	Loss: 51089.835938 	Time: 15:44:43
Train Epoch: 118 	Loss: 49199.285156 	Time: 15:45:38
Train Epoch: 119 	Loss: 46544.515625 	Time: 15:46:32
Train Epoch: 120 	Loss: 43712.773438 	Time: 15:47:26
Train Epoch: 121 	Loss: 35313.824219 	Time: 15:48:21
Train Epoch: 122 	Loss: 46621.375000 	Time: 15:49:18
Train Epoch: 123 	Loss: 51692.328125 	Time: 15:50:12
Train Epoch: 124 	Loss: 45400.953125 	Time: 15:51:07
Train Epoch: 125 	Loss: 38904.671875 	Time: 15:52:01
Train Epoch: 126 	Loss: 37227.085938 	Time: 15:52:56
Train Epoch: 127 	Loss: 40196.378906 	Time: 15:53:50
Train Epoch: 128 	Loss: 40025.792969 	Time: 15:54:45
Train Epoch: 129 	Loss: 43564.773438 	Time: 15:55:41
Train Epoch: 130 	Loss: 50031.644531 	Time: 15:56:37
Train Epoch: 131 	Loss: 45940.277344 	Time: 15:57:32
Train Epoch: 132 	Loss: 55699.125000 	Time: 15:58:26
Train Epoch: 133 	Loss: 28701.955078 	Time: 15:59:21
Train Epoch: 134 	Loss: 27434.398438 	Time: 16:00:15
Train Epoch: 135 	Loss: 38413.031250 	Time: 16:01:10
Train Epoch: 136 	Loss: 58097.316406 	Time: 16:02:04
Train Epoch: 137 	Loss: 48069.250000 	Time: 16:02:59
Train Epoch: 138 	Loss: 32822.675781 	Time: 16:03:53
Train Epoch: 139 	Loss: 26293.927734 	Time: 16:04:47
Train Epoch: 140 	Loss: 49268.597656 	Time: 16:05:41
Train Epoch: 141 	Loss: 45599.007812 	Time: 16:06:36
Train Epoch: 142 	Loss: 46356.460938 	Time: 16:07:31
Train Epoch: 143 	Loss: 59286.757812 	Time: 16:08:25
Train Epoch: 144 	Loss: 37993.644531 	Time: 16:09:20
Train Epoch: 145 	Loss: 34710.832031 	Time: 16:10:14
Train Epoch: 146 	Loss: 43031.125000 	Time: 16:11:08
Train Epoch: 147 	Loss: 34060.781250 	Time: 16:12:03
Train Epoch: 148 	Loss: 30139.996094 	Time: 16:12:56
Train Epoch: 149 	Loss: 30036.093750 	Time: 16:13:52
Train Epoch: 150 	Loss: 35809.925781 	Time: 16:14:46
Train Epoch: 151 	Loss: 23445.308594 	Time: 16:15:40
Train Epoch: 152 	Loss: 20385.371094 	Time: 16:16:34
Train Epoch: 153 	Loss: 23105.886719 	Time: 16:17:28
Train Epoch: 154 	Loss: 62272.878906 	Time: 16:18:23
Train Epoch: 155 	Loss: 76753.546875 	Time: 16:19:17
Train Epoch: 156 	Loss: 101220.585938 	Time: 16:20:11
Train Epoch: 157 	Loss: 81376.867188 	Time: 16:21:05
Train Epoch: 158 	Loss: 89590.703125 	Time: 16:21:59
Train Epoch: 159 	Loss: 81804.093750 	Time: 16:22:53
Train Epoch: 160 	Loss: 96395.679688 	Time: 16:23:48
Train Epoch: 161 	Loss: 80259.765625 	Time: 16:24:42
Train Epoch: 162 	Loss: 80856.914062 	Time: 16:25:36
Train Epoch: 163 	Loss: 66011.757812 	Time: 16:26:30
Train Epoch: 164 	Loss: 36410.949219 	Time: 16:27:25
Train Epoch: 165 	Loss: 42920.406250 	Time: 16:28:20
Train Epoch: 166 	Loss: 32145.269531 	Time: 16:29:15
Train Epoch: 167 	Loss: 32648.781250 	Time: 16:30:10
Train Epoch: 168 	Loss: 24876.292969 	Time: 16:31:05
Train Epoch: 169 	Loss: 21932.767578 	Time: 16:32:00
Train Epoch: 170 	Loss: 28556.453125 	Time: 16:32:55
Train Epoch: 171 	Loss: 91799.335938 	Time: 16:33:50
